121685,-2378,2096,-2559,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
121725,-2355,2079,-2578,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
121765,-2356,2062,-2594,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
121805,-2323,2101,-2584,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
121845,-2337,2119,-2622,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
121885,-2345,2131,-2622,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
121925,-2361,2118,-2607,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
121965,-2324,2148,-2573,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122006,-2323,2131,-2601,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122043,-2342,2103,-2601,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122080,-2329,2118,-2615,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122118,-2313,2133,-2611,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122155,-2344,2134,-2586,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122192,-2340,2130,-2607,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122230,-2322,2127,-2622,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122267,-2302,2140,-2624,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122304,-2314,2126,-2612,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122342,-2312,2114,-2563,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122379,-2319,2156,-2561,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122417,-2335,2133,-2573,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122454,-2315,2162,-2643,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122492,-2357,2104,-2628,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122530,-2320,2079,-2596,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122568,-2338,2097,-2635,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122606,-2317,2119,-2588,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122644,-2295,2083,-2586,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122682,-2324,2092,-2623,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122720,-2347,2105,-2660,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122758,-2306,2107,-2645,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122796,-2326,2083,-2639,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122836,-2319,2104,-2625,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122876,-2305,2070,-2656,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122916,-2311,2077,-2663,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122956,-2287,2097,-2647,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
122996,-2293,2089,-2676,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123036,-2303,2071,-2647,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123076,-2322,2070,-2673,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123116,-2298,2086,-2693,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123156,-2294,2094,-2658,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123196,-2303,2125,-2703,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123234,-2277,2091,-2684,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123272,-2274,2068,-2635,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123310,-2286,2061,-2666,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123348,-2308,2078,-2691,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123386,-2301,2098,-2688,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123425,-2311,2089,-2687,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123463,-2291,2091,-2667,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123501,-2305,2081,-2673,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123539,-2304,2068,-2615,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123577,-2314,2070,-2634,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123616,-2280,2099,-2686,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123656,-2287,2116,-2685,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123697,-2272,2088,-2626,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123738,-2324,2089,-2615,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123778,-2300,2051,-2621,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123819,-2277,2074,-2648,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123860,-2300,2104,-2660,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123900,-2320,2098,-2652,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123941,-2284,2089,-2660,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
123982,-2316,2120,-2644,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124023,-2307,2117,-2652,79,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124062,-2272,2109,-2638,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124101,-2299,2103,-2634,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124140,-2290,2114,-2662,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124179,-2269,2123,-2638,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124218,-2302,2122,-2634,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124257,-2307,2147,-2625,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124296,-2294,2128,-2652,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124335,-2277,2147,-2623,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124374,-2275,2129,-2604,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124413,-2296,2132,-2597,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124446,-2283,2122,-2628,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124480,-2272,2142,-2637,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124513,-2283,2135,-2618,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124547,-2270,2119,-2594,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124580,-2285,2131,-2616,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124614,-2287,2135,-2644,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124647,-2298,2138,-2631,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124681,-2290,2118,-2611,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124714,-2287,2128,-2619,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124748,-2274,2171,-2647,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124782,-2261,2138,-2628,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124822,-2251,2148,-2624,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124863,-2279,2135,-2597,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124903,-2255,2147,-2634,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124944,-2257,2159,-2643,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
124984,-2283,2155,-2667,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125025,-2278,2121,-2631,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125065,-2287,2117,-2621,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125106,-2267,2141,-2653,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125146,-2269,2135,-2637,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125187,-2264,2110,-2615,80,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125229,-2274,2127,-2638,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125272,-2269,2119,-2645,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125314,-2286,2109,-2670,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125357,-2287,2122,-2678,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125400,-2290,2108,-2667,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125442,-2294,2115,-2660,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125485,-2272,2136,-2642,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125528,-2280,2132,-2631,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125570,-2310,2113,-2641,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125613,-2246,2121,-2650,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125656,-2260,2095,-2650,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125694,-2264,2111,-2660,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125733,-2237,2113,-2646,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125771,-2277,2091,-2615,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125810,-2294,2080,-2613,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125848,-2285,2122,-2661,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125887,-2292,2112,-2613,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125925,-2258,2107,-2632,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
125964,-2287,2104,-2642,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126002,-2274,2098,-2646,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126041,-2298,2114,-2654,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126077,-2287,2095,-2635,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126114,-2293,2063,-2644,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126150,-2296,2066,-2659,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126187,-2282,2120,-2683,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126223,-2293,2082,-2672,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126260,-2272,2093,-2665,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126296,-2250,2070,-2693,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126333,-2275,2095,-2688,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126369,-2259,2108,-2692,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126406,-2249,2069,-2640,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126443,-2269,2098,-2679,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126481,-2271,2112,-2695,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126519,-2275,2114,-2714,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126557,-2289,2119,-2687,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126595,-2268,2084,-2647,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126632,-2268,2080,-2669,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126670,-2247,2096,-2667,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126708,-2255,2090,-2687,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126746,-2264,2080,-2670,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126784,-2270,2095,-2697,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126822,-2262,2105,-2676,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126861,-2254,2139,-2671,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126900,-2273,2128,-2649,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126939,-2249,2102,-2647,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
126979,-2248,2073,-2656,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127018,-2247,2142,-2699,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127057,-2250,2123,-2669,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127097,-2243,2125,-2668,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127136,-2277,2127,-2662,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127175,-2248,2129,-2666,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127215,-2271,2159,-2695,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127248,-2256,2111,-2656,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127282,-2243,2094,-2644,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127316,-2237,2122,-2650,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127349,-2256,2128,-2673,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127383,-2262,2096,-2682,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127417,-2231,2121,-2669,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127451,-2236,2112,-2656,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127484,-2247,2111,-2649,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127518,-2244,2149,-2682,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127552,-2276,2116,-2693,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127586,-2265,2111,-2681,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127627,-2238,2096,-2682,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127669,-2244,2107,-2724,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127711,-2230,2112,-2653,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127752,-2251,2115,-2655,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127794,-2263,2107,-2667,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127836,-2240,2119,-2691,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127877,-2264,2120,-2696,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127919,-2256,2097,-2714,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
127961,-2244,2074,-2699,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128003,-2244,2102,-2705,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128049,-2240,2099,-2677,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128096,-2255,2101,-2718,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128142,-2256,2131,-2708,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128189,-2234,2101,-2692,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128235,-2244,2116,-2674,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128282,-2248,2091,-2684,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128328,-2229,2114,-2703,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128375,-2254,2070,-2676,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128421,-2241,2096,-2695,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128468,-2242,2110,-2714,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128497,-2230,2119,-2699,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128527,-2236,2127,-2679,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128557,-2244,2113,-2649,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128587,-2253,2085,-2673,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128617,-2230,2120,-2707,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128647,-2240,2087,-2688,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128677,-2246,2116,-2688,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128707,-2250,2109,-2668,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128737,-2245,2094,-2667,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128767,-2244,2094,-2687,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128797,-2255,2109,-2689,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128837,-2253,2122,-2684,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128877,-2281,2118,-2692,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128917,-2248,2098,-2660,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128957,-2251,2151,-2693,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
128997,-2238,2124,-2677,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129037,-2246,2116,-2644,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129077,-2228,2116,-2658,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129117,-2232,2135,-2661,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129157,-2249,2139,-2697,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129197,-2252,2109,-2632,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129233,-2242,2122,-2632,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129269,-2250,2133,-2661,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129305,-2246,2134,-2678,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129342,-2244,2137,-2684,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129378,-2252,2165,-2669,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129414,-2252,2126,-2646,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129450,-2224,2147,-2669,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129487,-2244,2124,-2654,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129523,-2248,2127,-2653,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129559,-2244,2142,-2647,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129596,-2252,2145,-2628,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129637,-2235,2142,-2633,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129679,-2256,2117,-2659,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129720,-2267,2090,-2674,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129762,-2255,2105,-2683,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129804,-2253,2120,-2698,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129845,-2268,2117,-2688,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129887,-2260,2132,-2667,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129928,-2257,2133,-2652,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
129970,-2242,2087,-2673,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130012,-2220,2116,-2672,81,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130050,-2250,2121,-2673,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130088,-2227,2119,-2661,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130126,-2247,2104,-2680,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130165,-2236,2100,-2659,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130203,-2239,2104,-2677,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130241,-2233,2136,-2680,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130280,-2237,2149,-2653,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130318,-2246,2147,-2657,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130356,-2235,2142,-2664,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130395,-2213,2150,-2691,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130433,-2229,2133,-2692,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130471,-2210,2142,-2685,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130510,-2193,2158,-2685,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130548,-2247,2104,-2676,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130586,-2218,2105,-2649,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130625,-2207,2145,-2710,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130663,-2234,2112,-2675,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130701,-2250,2132,-2695,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130740,-2276,2135,-2674,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130778,-2297,2135,-2650,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130817,-2248,2100,-2658,82,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130857,-2239,2098,-2675,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130897,-2271,2107,-2682,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130938,-2235,2115,-2673,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
130978,-2255,2127,-2668,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131019,-2257,2123,-2646,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131059,-2256,2118,-2670,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131099,-2260,2116,-2695,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131140,-2254,2121,-2701,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131180,-2236,2115,-2632,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131221,-2256,2136,-2618,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131257,-2236,2158,-2639,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131293,-2270,2144,-2659,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131329,-2247,2137,-2675,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131365,-2234,2133,-2648,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131401,-2226,2131,-2644,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131438,-2263,2126,-2628,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131474,-2258,2142,-2634,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131510,-2285,2128,-2651,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131546,-2293,2084,-2655,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131582,-2274,2116,-2652,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131619,-2249,2128,-2645,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131658,-2282,2110,-2617,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131698,-2273,2089,-2627,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131738,-2255,2087,-2635,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131777,-2223,2108,-2652,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131817,-2224,2174,-2676,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131857,-2241,2144,-2611,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131896,-2268,2137,-2579,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131936,-2273,2138,-2667,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
131976,-2293,2148,-2701,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
132016,-2295,2107,-2697,83,35825b1a-e832-4033-b6d4-84830ed10df6,,qunut,qunut,,
