117459,-1482,4186,-1053,110,10917e32-5892-4c0c-9c67-922248455baa,,transisi,transisi_sujud_ke_bersedekap,,
117494,-1230,3938,-952,110,10917e32-5892-4c0c-9c67-922248455baa,,transisi,transisi_sujud_ke_bersedekap,,
117530,-1210,3713,-821,110,10917e32-5892-4c0c-9c67-922248455baa,,transisi,transisi_sujud_ke_bersedekap,,
117565,-1235,3816,-861,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117601,-1299,3668,-787,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117639,-1333,3776,-816,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117677,-1315,3825,-884,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117715,-1371,3804,-879,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117753,-1298,3738,-934,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117792,-1311,3683,-806,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117830,-1280,3725,-816,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117868,-1358,3927,-909,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117906,-1313,3948,-868,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117944,-1314,3813,-818,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
117983,-1265,3811,-824,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118018,-1286,3748,-835,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118054,-1306,3852,-907,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118090,-1256,3745,-847,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118126,-1259,3791,-860,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118162,-1276,3775,-845,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118198,-1278,3782,-886,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118234,-1284,3771,-865,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118270,-1264,3750,-885,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118306,-1224,3730,-857,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118342,-1225,3810,-940,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118378,-1240,3825,-865,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118419,-1232,3834,-909,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118461,-1241,3788,-919,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118503,-1255,3774,-942,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118544,-1261,3729,-931,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118586,-1236,3797,-989,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118628,-1256,3762,-930,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118669,-1246,3793,-971,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118711,-1231,3849,-986,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118753,-1214,3779,-989,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118795,-1203,3780,-985,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118835,-1201,3799,-997,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118875,-1261,3772,-1017,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118915,-1248,3750,-1006,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118956,-1264,3781,-1054,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
118996,-1229,3787,-1001,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119036,-1168,3783,-1085,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119077,-1211,3828,-1005,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119117,-1213,3869,-1051,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119157,-1216,3865,-1067,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119198,-1225,3796,-1034,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119234,-1212,3820,-1029,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119270,-1207,3725,-1027,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119306,-1197,3795,-995,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119342,-1226,3710,-1013,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119378,-1217,3743,-1003,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119414,-1207,3787,-1016,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119450,-1246,3809,-1002,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119486,-1226,3797,-1015,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119522,-1190,3729,-980,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119558,-1201,3728,-966,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119594,-1153,3717,-1007,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119632,-1172,3759,-1038,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119670,-1178,3775,-1012,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119709,-1186,3838,-1015,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119747,-1239,3799,-1013,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119786,-1210,3817,-991,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119824,-1199,3854,-957,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119862,-1221,3767,-999,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119901,-1178,3712,-919,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119939,-1204,3778,-955,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
119978,-1201,3824,-950,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120014,-1222,3796,-954,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120051,-1215,3799,-948,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120088,-1031,3764,-930,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120125,-1203,3740,-984,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120162,-1197,3781,-975,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120199,-1232,3827,-953,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120236,-1235,3794,-994,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120273,-1220,3791,-935,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120310,-1233,3799,-968,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120347,-1232,3745,-947,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120384,-1229,3750,-937,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120429,-1236,3809,-940,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120474,-1220,3791,-995,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120519,-1200,3781,-949,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120564,-1232,3855,-974,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120609,-1178,3769,-986,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120654,-1182,3775,-977,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120699,-1204,3792,-981,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120744,-1200,3790,-984,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120789,-1211,3785,-980,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120835,-1213,3773,-971,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120872,-1206,3785,-979,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120910,-1177,3785,-1005,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120948,-1199,3755,-980,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
120986,-1196,3799,-992,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121024,-1209,3790,-1013,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121062,-1184,3817,-982,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121100,-1187,3817,-996,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121138,-1179,3780,-949,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121176,-1192,3780,-996,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121214,-1196,3797,-995,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121246,-1195,3787,-1004,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121278,-1196,3777,-965,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121310,-1199,3797,-1005,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121343,-1213,3764,-999,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121375,-1191,3736,-1015,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121407,-1216,3785,-951,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121439,-1188,3800,-1036,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121472,-1212,3823,-947,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121504,-1213,3848,-1001,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121536,-1224,3752,-990,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121569,-1194,3767,-966,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121613,-1216,3794,-985,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121657,-1168,3762,-985,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121701,-1194,3788,-980,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121745,-1200,3792,-1003,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121790,-1192,3747,-966,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121834,-1188,3786,-992,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121878,-1193,3788,-1000,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121922,-1195,3777,-968,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
121966,-1207,3788,-1022,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122011,-1186,3806,-954,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122049,-1206,3769,-1021,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122087,-1192,3775,-945,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122126,-1182,3821,-1024,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122164,-1208,3782,-1009,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122203,-1197,3769,-989,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122241,-1201,3791,-990,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122279,-1194,3799,-1029,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122318,-1183,3778,-970,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122356,-1205,3833,-1023,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122395,-1188,3796,-996,109,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122430,-1175,3769,-995,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122465,-1166,3773,-1026,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122501,-1174,3756,-1005,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122536,-1204,3803,-1069,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122571,-1171,3788,-987,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122607,-1191,3780,-1062,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122642,-1207,3817,-1014,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122677,-1179,3786,-1037,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122713,-1190,3768,-1054,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122748,-1168,3794,-1035,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122784,-1209,3824,-1055,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122827,-1162,3749,-1029,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122870,-1173,3762,-1003,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122913,-1201,3787,-1034,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
122956,-1179,3786,-1027,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123000,-1187,3795,-1025,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123043,-1200,3796,-1047,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123086,-1184,3757,-1025,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123129,-1222,3743,-1049,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123172,-1156,3782,-1044,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123216,-1182,3743,-1076,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123255,-1175,3762,-1007,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123294,-1178,3802,-1079,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123333,-1155,3735,-1039,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123372,-1157,3810,-1057,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123411,-1159,3801,-1067,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123450,-1161,3764,-1055,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123489,-1197,3805,-1054,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123528,-1156,3786,-1071,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123567,-1165,3776,-1058,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123606,-1156,3775,-1074,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123646,-1166,3822,-1098,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123681,-1178,3767,-1058,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123717,-1176,3790,-1065,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123753,-1164,3792,-1085,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123789,-1143,3775,-1108,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123825,-1147,3806,-1074,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123860,-1164,3800,-1119,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123896,-1148,3770,-1065,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123932,-1168,3832,-1055,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
123968,-1156,3778,-1085,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124004,-1179,3789,-1033,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124041,-1175,3762,-1075,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124078,-1153,3771,-1055,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124116,-1171,3770,-1024,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124153,-1164,3791,-1046,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124191,-1169,3748,-1048,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124228,-1144,3741,-1061,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124265,-1146,3747,-1039,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124303,-1150,3742,-1088,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124340,-1135,3747,-1007,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124378,-1139,3806,-1079,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124414,-1153,3774,-1053,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124451,-1162,3799,-1023,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124487,-1174,3843,-1079,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124524,-1121,3755,-1025,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124560,-1149,3757,-1039,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124597,-1146,3787,-1038,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124633,-1128,3792,-1031,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124670,-1142,3776,-1031,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124706,-1168,3794,-1044,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124743,-1147,3764,-1038,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124780,-1159,3814,-1016,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124828,-1172,3766,-1090,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124877,-1153,3764,-1008,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124925,-1165,3800,-1065,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
124974,-1146,3753,-1054,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125022,-1173,3766,-1049,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125071,-1155,3836,-1061,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125119,-1152,3770,-1045,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125168,-1129,3788,-1040,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125216,-1141,3805,-1041,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125265,-1134,3752,-1038,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125298,-1147,3788,-1049,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125331,-1153,3812,-1073,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125364,-1168,3777,-1074,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125397,-1176,3753,-1039,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125430,-1177,3776,-1068,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125463,-1140,3806,-1039,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125496,-1148,3789,-1031,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125529,-1177,3776,-1047,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125562,-1161,3772,-1051,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125595,-1140,3826,-1065,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125631,-1170,3798,-1056,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125668,-1166,3778,-1034,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125705,-1144,3783,-1073,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125741,-1160,3771,-1049,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125778,-1158,3773,-1048,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125815,-1157,3791,-1071,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125852,-1145,3793,-1061,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125888,-1161,3740,-1045,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125925,-1202,3819,-1058,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125962,-1172,3797,-1056,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
125999,-1160,3790,-1037,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126038,-1202,3763,-1054,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126078,-1176,3784,-1022,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126117,-1198,3781,-1040,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126157,-1186,3783,-1050,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126197,-1213,3796,-1038,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126236,-1192,3807,-1072,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126276,-1175,3768,-1024,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126315,-1188,3772,-1033,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126355,-1210,3768,-1040,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126395,-1215,3775,-1021,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126431,-1190,3745,-1054,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126467,-1198,3779,-1001,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126504,-1183,3757,-1082,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126540,-1184,3770,-967,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126576,-1219,3803,-1051,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126613,-1194,3764,-1013,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126649,-1210,3772,-989,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126685,-1206,3790,-1049,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126722,-1164,3754,-1006,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126758,-1206,3768,-1037,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126795,-1188,3785,-1064,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126837,-1190,3766,-1032,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
126879,-1186,3805,-1047,110,a6743fdb-7b5d-483a-8936-74f4225d67a5,,berdiri,bersedekap,,
